Neighborhood,Total Population,Total Households,Population in Households,Household Size,Population in Group Quarters,Family Households,Non-Family Households,Families with Children,Percent of All Households: Families with Children,0--4,5--9,10--14,15--17,18--19,20--24,25--34,35--44,45--54,55--59,60--64,65--74,75--84,85 Plus,Population,Total units,Occupied units,Vacant units,Percent owner occupied,Person per acre,Acres,Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Majority Age,Neighborhood Size,House Size,Family Percentage,Percent Vacant,Vacancy,Income,Rent,Home Value,Transit Closeness,Transit Cost,Rent Increase,Home Value Increase,Density
CHESTNUT,1777,678,1647,2.4,130,310,368,115,17.0,5.0,4.4,3.7,2.3,2.5,13.3,27.2,17.2,9.6,4.7,2.8,3.0,2.8,1.6,1777,765,678,87,53.4,9.8,180.5,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,25-34,678,2.4,17.0,11.372549019607844,11.372549019607844,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,9.8
CIRCLE C SOUTH,12802,4016,12802,3.2,0,3575,441,2362,58.8,10.2,12.3,8.9,4.2,1.3,2.1,9.3,22.3,15.1,4.9,3.9,3.7,1.5,0.3,12802,4121,4016,105,94.8,4.0,3232.8,78739,1.0,126525.0,14.0,15.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,2000.0,350500.0,0.0,108.0,0.0,0.0,0.0,0.0,8.0,0.0,71.0,11.0,46.0,0.0,72.0,8.0,786.0,34.0,35-44,4016,3.2,58.8,2.5479252608590146,2.5479252608590146,126525.0,2000.0,350500.0,8.0,786.0,0.0,72.0,4.0
CORONADO HILLS,3546,1283,3544,2.8,2,766,517,426,33.2,13.5,8.4,4.3,2.4,2.6,10.4,21.9,12.9,8.9,4.2,3.0,3.8,2.7,0.8,3546,1390,1283,107,30.2,10.0,356.3,78752,32.0,33271.0,19.0,57.0,11.0,9.0,8.0,43.0,20.0,7.0,2.0,752.0,153000.0,0.8,15.0,5.0,14.0,55.0,8.0,92.0,39.0,100.0,86.0,8.0,17.0,71.0,80.0,629.0,37.0,25-34,1283,2.8,33.2,7.697841726618705,7.697841726618705,33271.0,752.0,153000.0,80.0,629.0,17.0,71.0,10.0
CRESTVIEW,3927,1945,3786,1.9,141,883,1062,355,18.3,6.3,4.2,2.5,1.7,0.9,5.1,22.6,19.0,13.4,5.9,4.5,4.7,6.0,3.3,3927,2297,1945,352,61.3,6.0,652.8,78757,16.0,55156.0,5.0,25.0,10.0,6.0,5.0,21.0,8.0,4.0,1.0,895.0,253300.0,0.7,10.0,2.0,6.0,32.0,8.0,75.0,21.0,100.0,56.0,103.0,24.0,93.0,79.0,590.0,36.0,25-34,1945,1.9,18.3,15.324336090552896,15.324336090552896,55156.0,895.0,253300.0,79.0,590.0,24.0,93.0,6.0
DAVENPORT--LAKE AUSTIN,5161,1996,5104,2.6,57,1403,593,739,37.0,4.8,8.5,9.2,5.9,1.9,2.5,7.9,16.1,17.9,8.3,7.4,6.4,2.5,0.6,5161,2223,1996,227,73.7,1.2,4245.5,78746,5.0,125327.0,10.0,8.0,6.0,4.0,7.0,1.0,4.0,0.0,0.0,1221.0,619900.0,0.1,12.0,0.0,4.0,8.0,0.0,48.0,1.0,94.0,6.0,32.0,32.0,80.0,14.0,786.0,29.0,45-59,1996,2.6,37.0,10.211426000899685,10.211426000899685,125327.0,1221.0,619900.0,14.0,786.0,32.0,80.0,1.2
DAWSON,2670,1273,2670,2.1,0,491,782,184,14.5,6.1,4.1,3.3,1.5,1.6,12.9,26.0,16.0,11.9,4.1,3.7,4.7,2.8,1.4,2670,1420,1273,147,37.2,8.5,315.2,78704,21.0,50248.0,7.0,30.0,9.0,7.0,3.0,13.0,12.0,13.0,1.0,940.0,338200.0,0.4,9.0,0.0,11.0,26.0,2.0,76.0,13.0,99.0,33.0,33.0,40.0,126.0,76.0,629.0,33.0,25-34,1273,2.1,14.5,10.352112676056338,10.352112676056338,50248.0,940.0,338200.0,76.0,629.0,40.0,126.0,8.5
DECKER LAKE,326,94,326,3.5,0,83,11,56,59.6,14.4,12.3,9.5,3.4,2.8,5.2,16.9,16.9,8.6,1.5,4.6,2.5,1.2,0.3,326,103,94,9,80.9,0.0,6866.5,78724,38.0,35711.0,29.0,63.0,8.0,8.0,28.0,85.0,16.0,38.0,20.0,962.0,105700.0,1.5,48.0,28.0,15.0,22.0,42.0,78.0,84.0,100.0,96.0,208.0,37.0,46.0,21.0,786.0,40.0,25-34,94,3.5,59.6,8.737864077669903,8.737864077669903,35711.0,962.0,105700.0,21.0,786.0,37.0,46.0,0.0
DITTMAR--SLAUGHTER,15697,6333,15606,2.5,91,3666,2667,1708,27.0,7.2,6.0,5.6,3.6,2.3,7.9,20.7,15.6,14.1,6.0,4.5,4.0,1.7,0.6,15697,6644,6333,311,57.7,6.2,2531.9,78745,16.0,49243.0,7.0,40.0,11.0,7.0,6.0,33.0,8.0,7.0,2.0,990.0,166200.0,0.7,21.0,1.0,6.0,24.0,3.0,72.0,29.0,99.0,96.0,73.0,30.0,83.0,76.0,668.0,35.0,25-34,6333,2.5,27.0,4.680915111378687,4.680915111378687,49243.0,990.0,166200.0,76.0,668.0,30.0,83.0,6.2
DOWNTOWN,7635,4379,6357,1.5,1278,908,3471,159,3.6,1.5,1.0,0.8,0.4,1.6,11.7,33.6,17.9,14.3,5.5,4.6,4.1,2.1,0.9,7635,5670,4379,1291,33.3,6.8,1117.2,78701,20.0,68152.0,16.0,14.0,10.0,9.0,0.0,7.0,7.0,9.0,0.0,1590.0,338300.0,0.8,134.0,0.0,7.0,12.0,1.0,29.0,7.0,90.0,30.0,12.0,115.0,59.0,97.0,433.0,23.0,25-34,4379,1.5,3.6,22.7689594356261,22.7689594356261,68152.0,1590.0,338300.0,97.0,433.0,115.0,59.0,6.8
EAST CESAR CHAVEZ,3291,1349,3083,2.3,208,595,754,225,16.7,6.1,4.5,4.6,3.0,1.9,6.7,21.2,14.1,13.1,5.5,4.8,6.8,5.3,2.4,3291,1482,1349,133,41.1,7.6,430.8,78702,33.0,34734.0,18.0,56.0,14.0,11.0,10.0,21.0,41.0,39.0,2.0,766.0,175400.0,2.2,15.0,0.0,39.0,51.0,2.0,80.0,15.0,99.0,67.0,3.0,73.0,207.0,96.0,590.0,39.0,25-34,1349,2.3,16.7,8.974358974358974,8.974358974358974,34734.0,766.0,175400.0,96.0,590.0,73.0,207.0,7.6
